id,country,category,subcategory,domain,meta,last_found,first_found,found_by,getter_name
40,NL,Education,primary education,www.waschooldp.nl,"{'adres_straat': 'Oranjestraat', 'adres_nummer': '2', 'postcode': '7753 TK', 'plaats': 'DALERPEEL', 'correspondentieadres_straat': 'Oranjestraat', 'correspondentieadres_nummer': '2', 'correspondentieadres_postcode': '7753 TK', 'correspondentieadres_plaats': 'DALERPEEL', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0524571956'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
41,NL,Education,primary education,www.mvdthijnenschool.nl,"{'adres_straat': 'Jan van Scorelstraat', 'adres_nummer': '11', 'postcode': '7741 XM', 'plaats': 'COEVORDEN', 'correspondentieadres_straat': 'Jan van Scorelstraat', 'correspondentieadres_nummer': '11', 'correspondentieadres_postcode': '7741 XM', 'correspondentieadres_plaats': 'COEVORDEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0524513283'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
42,NL,Education,primary education,www.paulkrugerschool.nl,"{'adres_straat': 'van Heutszsingel', 'adres_nummer': '9', 'postcode': '7741 ER', 'plaats': 'COEVORDEN', 'correspondentieadres_straat': 'van Heutszsingel', 'correspondentieadres_nummer': '9', 'correspondentieadres_postcode': '7741 ER', 'correspondentieadres_plaats': 'COEVORDEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0524516182'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
43,NL,Education,primary education,www.drpicardt.nl,"{'adres_straat': 'van Pallandtlaan', 'adres_nummer': '7', 'postcode': '7742 WJ', 'plaats': 'COEVORDEN', 'correspondentieadres_straat': 'van Pallandtlaan', 'correspondentieadres_nummer': '7', 'correspondentieadres_postcode': '7742 WJ', 'correspondentieadres_plaats': 'COEVORDEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0524512148'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
44,NL,Education,primary education,www.cbsdewel.nl,"{'adres_straat': 'Burg. Haitsmalaan', 'adres_nummer': '7', 'postcode': '7948 AE', 'plaats': 'NIJEVEEN', 'correspondentieadres_straat': 'Burg. Haitsmalaan', 'correspondentieadres_nummer': '7', 'correspondentieadres_postcode': '7948 AE', 'correspondentieadres_plaats': 'NIJEVEEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0522490461'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
45,NL,Education,primary education,www.cbsdefonteindwingeloo.nl,"{'adres_straat': 'Heuvelenweg', 'adres_nummer': '22-B', 'postcode': '7991 CL', 'plaats': 'DWINGELOO', 'correspondentieadres_straat': 'Heuvelenweg', 'correspondentieadres_nummer': '22-B', 'correspondentieadres_postcode': '7991 CL', 'correspondentieadres_plaats': 'DWINGELOO', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0521593196'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
46,NL,Education,primary education,www.debroncbs.nl,"{'adres_straat': 'Hoofdweg', 'adres_nummer': '136', 'postcode': '8383 EK', 'plaats': 'NIJENSLEEK', 'correspondentieadres_straat': 'Hoofdweg', 'correspondentieadres_nummer': '136', 'correspondentieadres_postcode': '8383 EK', 'correspondentieadres_plaats': 'NIJENSLEEK', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0521381885'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
47,NL,Education,primary education,www.deakkerpesse.nl,"{'adres_straat': 'Hoogeveenseweg', 'adres_nummer': '28', 'postcode': '7933 PG', 'plaats': 'PESSE', 'correspondentieadres_straat': 'Hoogeveenseweg', 'correspondentieadres_nummer': '28', 'correspondentieadres_postcode': '7933 PG', 'correspondentieadres_plaats': 'PESSE', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0528262566'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
48,NL,Education,primary education,www.dearendsvleugel.nl,"{'adres_straat': 'Bleekhof', 'adres_nummer': '2', 'postcode': '7961 AW', 'plaats': 'RUINERWOLD', 'correspondentieadres_straat': 'Bleekhof', 'correspondentieadres_nummer': '2', 'correspondentieadres_postcode': '7961 AW', 'correspondentieadres_plaats': 'RUINERWOLD', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0522481344'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
49,NL,Education,primary education,www.roosjenschool.nl,"{'adres_straat': 'Hoofdstraat', 'adres_nummer': '23', 'postcode': '7981 AC', 'plaats': 'DIEVER', 'correspondentieadres_straat': 'Hoofdstraat', 'correspondentieadres_nummer': '23', 'correspondentieadres_postcode': '7981 AC', 'correspondentieadres_plaats': 'DIEVER', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0521591513'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
